vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Dodge Journey R/T,2016,"140,218 ","12,997",Automatic,Gasoline , All-wheel Drive , Billet Silver Metallic Clearcoat , 3C4PDDEG2GT227364 ,,3.6L V6 24V MPFI DOHC
Jeep Patriot Sport,2016,"100,663 ","13,352",Automatic,Gasoline , Front-wheel Drive , Black Clearcoat , 1C4NJPBA4GD769220 ,,2.0L I4 16V MPFI DOHC
Nissan Juke S,2016,"94,671 ","13,491",Automatic CVT,Gasoline , AWD , Pearl White , JN8AF5MV8GT654361 ,,1.6L I4 16V GDI DOHC Turbo
Nissan Rogue S,2016,"119,916 ","13,499",Automatic CVT,Gasoline , Front-wheel Drive , Glacier White , 5N1AT2MT6GC743651 ,,2.5L I4 16V MPFI DOHC
FIAT 500X Trekking,2016,"47,950 ","14,151",9-Speed Automatic,Gasoline , Front-wheel Drive , Red Tri-Coat , ZFBCFXCT1GP357329 ,,2.4L I4 16V MPFI SOHC
Nissan Rogue S,2016,"125,582 ","14,441",Automatic CVT,Gasoline , Front-wheel Drive , Magnetic Black , KNMAT2MT9GP602828 ,,2.5L I4 16V MPFI DOHC
Jeep Patriot Sport,2016,"64,283 ","14,891",6-Speed Automatic,Gasoline , Front-wheel Drive , Maximum Steel Metallic , 1C4NJPBB9GD575890 ,,2.4L I4 16V MPFI DOHC
Nissan Juke S,2017,"102,270 ","14,998",Automatic CVT,Gasoline , Front-wheel Drive , Silver , JN8AF5MR5HT703746 ,,1.6L I4 16V GDI DOHC Turbo
Jeep Patriot Sport,2016,"91,534 ","14,999",Automatic,Gasoline , Front-wheel Drive , Black , 1C4NJPBA2GD525968 ,,2.0L I4 16V MPFI DOHC
Jeep Patriot Sport,2016,"97,441 ","14,999",Variable,Gasoline , Front-wheel Drive , Black Clearcoat , 1C4NJPBA6GD743217 ,,Regular Unleaded I-4 2.0 L/122
Mitsubishi Eclipse Cross ES,2019,"90,682 ","15,499",Variable,Gasoline , Four-wheel Drive , Red Diamond , JA4AT3AA8KZ037973 ,,Intercooled Turbo Regular Unleaded I-4 1.5 L/91
Buick Encore Base,2016,"47,588 ","15,500",6-Speed Automatic,Gasoline , Front-wheel Drive , Summit White , KL4CJASB8GB544446 ,,1.4L I4 16V MPFI DOHC Turbo
