Ford Fusion Energi Titanium,2020,"10,400 ","33,499",Automatic CVT,Hybrid , Front-wheel Drive , Blue Metallic , 3FA6P0SU1LR132605 , –,2.0L I4 16V MPFI DOHC Hybrid
Mercedes-Benz E-Class E 300,2019,"19,446 ","44,955",9-Speed Automatic,Gasoline , Rear-wheel Drive , Polar White , WDDZF4JB6KA523202 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2019,"18,072 ","43,999",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDZF4JBXKA554419 ,,2.0L I4 16V GDI DOHC Turbo
Lexus ES 300h Luxury,2021,"13,189 ","51,491",Automatic CVT,Hybrid , Front-wheel Drive , Atomic Silver , 58AEA1C10MU010608 ,,2.5L I4 16V PDI DOHC Hybrid
Lexus ES 300h Base,2018,"18,593 ","38,995",Automatic CVT,Hybrid , Front-wheel Drive , Obsidian Black , JTHBW1GG2J2194065 ,,2.5L I4 16V MPFI DOHC Hybrid
Mercedes-Benz AMG C 43 Base 4MATIC,2018,"32,664 ","44,993",9-Speed Automatic,Gasoline , All-wheel Drive , Black , 55SWF6EB9JU238548 ,,3.0L V6 24V GDI DOHC Twin Turbo
Acura TLX V6,2020,"12,214 ","31,999",9-Speed Automatic,Gasoline , FWD , Black , 19UUB2F30LA000590 ,,3.5L V6 24V GDI SOHC
Mercedes-Benz AMG C 43 Base 4MATIC,2018,"35,890 ","45,990",9-Speed Automatic,Gasoline , All-wheel Drive , Black , 55SWF6EB3JU255698 ,,3.0L V6 24V GDI DOHC Twin Turbo
Mercedes-Benz E-Class E 300,2019,"20,266 ","44,529",9-Speed Automatic,Gasoline , Rear-wheel Drive , designo Cardinal Red Metallic , WDDZF4JBXKA620841 ,,2.0L I4 16V GDI DOHC Turbo
BMW 330e iPerformance,2018,"34,999 ","29,998",8-Speed Automatic,Hybrid , Rear-wheel Drive , Alpine White , WBA8E1C59JA178404 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
BMW 530e iPerformance,2019,"32,856 ","41,995",8-Speed Automatic,Hybrid , Rear-wheel Drive , Mediterranean Blue Metallic , WBAJA9C58KB389519 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Mercedes-Benz C-Class C 300,2018,"34,519 ","32,952",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , 55SWF4JB7JU273745 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2019,"13,236 ","52,989",1-Speed Automatic,Electric , All-wheel Drive , Deep Blue Metallic , 5YJ3E1EB2KF520848 ,,Electric
Mercedes-Benz E-Class E 300,2019,"19,338 ","45,929",9-Speed Automatic,Gasoline , Rear-wheel Drive , Iridium Silver Metallic , WDDZF4JB3KA529944 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2019,"26,476 ","46,988",9-Speed Automatic,Gasoline , All-wheel Drive , White , WDDZF4KB7KA586677 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2019,"12,571 ","54,998",1-Speed Automatic,Electric , All-wheel Drive , White , 5YJ3E1EB9KF477755 ,,Electric
Honda Civic LX,2019,"18,499 ","23,987",Automatic CVT,Gasoline , Front-wheel Drive , – , 2HGFC2F61KH556424 ,,2.0L I4 16V MPFI DOHC
BMW 330 i xDrive,2018,"37,483 ","28,488",8-Speed Automatic,Gasoline , All-wheel Drive , Black , WBA8D9G54JNU71745 ,,2.0L I4 16V GDI DOHC Turbo
BMW 530e iPerformance,2019,"11,726 ","43,999",8-Speed Automatic,Hybrid , Rear-wheel Drive , Glacier Silver Metallic , WBAJA9C54KB392918 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Toyota Camry SE,2017,"39,173 ","22,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , 4T1BF1FK8HU759355 ,,2.5L I4 16V MPFI DOHC
Honda Civic LX,2020,"19,048 ","31,000",Automatic CVT,Gasoline , Front-wheel Drive , Crystal Black Pearl , 19XFC2F66LE206329 ,,2.0L I4 16V MPFI DOHC
Lexus ES 300h Base,2020,"12,763 ","46,398",Automatic CVT,Hybrid , Front-wheel Drive , Caviar , 58AD21B11LU009556 ,,2.5L I4 16V PDI DOHC Hybrid
Mercedes-Benz E-Class E 350,2016,"54,584 ","30,991",7-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDHF5KB6GB252157 ,,3.5L V6 24V GDI DOHC
Mercedes-Benz C-Class C 300,2019,"19,181 ","36,500",9-Speed Automatic,Gasoline , Rear-wheel Drive , Blue , 55SWF8DB6KU292775 ,,2.0L I4 16V GDI DOHC Turbo
Honda Civic LX,2020,"38,466 ","22,988",Automatic CVT,Gasoline , Front-wheel Drive , Modern Steel Metallic , 19XFC2F60LE209615 ,,2.0L I4 16V MPFI DOHC
BMW 330e iPerformance,2018,"29,998 ","33,998",8-Speed Automatic,Hybrid , Rear-wheel Drive , Black Sapphire Metallic , WBA8E1C57JA756970 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Mercedes-Benz C-Class C 300,2019,"47,773 ","33,991",9-Speed Automatic,Gasoline , Rear-wheel Drive , Lunar Blue Metallic , 55SWF8DBXKU291533 ,,2.0L I4 16V GDI DOHC Turbo
Audi A6 Premium Plus 55 TFSI quattro,2019,"10,722 ","49,900",Automatic,– , – , BRILLIANT , WAUL2AF27KN055554 , –,3.0L 3.0-liter TFSI V6 engine
Audi A6 Premium Plus 55 TFSI quattro,2019,"13,814 ","49,900",Automatic,– , – , FIRMAMENT , WAUL2AF2XKN061350 , –,3.0L 3.0-liter TFSI V6 engine
Honda Accord EX-L,2018,"21,030 ","29,991",Automatic CVT,Gasoline , Front-wheel Drive , Kona Coffee Metallic , 1HGCV1F54JA183861 ,,1.5L I4 16V GDI DOHC Turbo
Hyundai Sonata SE,2018,"47,552 ","20,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Machine Gray , 5NPE24AF9JH726454 ,,2.4L I4 16V GDI DOHC
Dodge Charger R/T,2019,"16,737 ","45,888",8-Speed Automatic,Gasoline , Rear-wheel Drive , Black , 2C3CDXCT3KH718239 ,,5.7L V8 16V MPFI OHV
Lincoln MKZ Premiere,2018,"30,757 ","29,000",6-Speed Automatic,Gasoline , Front-wheel Drive , Velvet , 3LN6L5A98JR615646 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz C-Class C 300,2019,"31,802 ","35,374",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , 55SWF8DB9KU309987 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz CLA 250 Base,2019,"39,477 ","36,750",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Polar White , WDDSJ4EB7KN766746 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz C-Class C 300,2019,"15,115 ","36,525",9-Speed Automatic,Gasoline , Rear-wheel Drive , Polar White , 55SWF8DB4KU297070 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2019,"32,672 ","42,955",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDZF4JB5KA581284 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz AMG C 43 Base 4MATIC,2018,"30,192 ","53,381",9-Speed Automatic,Gasoline , All-wheel Drive , Red , 55SWF6EB8JU269273 ,,3.0L V6 24V GDI DOHC Twin Turbo
Mercedes-Benz C-Class C 300,2019,"11,901 ","39,981",9-Speed Automatic,Gasoline , RWD , Gray Metallic , 55SWF8DB0KU292917 ,,2.0L I4 16V GDI DOHC Turbo
Toyota Mirai Base,2018,"21,422 ","15,991",1-Speed Automatic,Electric , Front-wheel Drive , Celestial Black , JTDBVRBD9JA004008 ,,Electric
